RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_BAND,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_HTECH
1,841,8600,130662,Queen Elizabeth Sixth Form College,Sixth Form College,0,0,3,1,3,-1,803,76%,2%,73%,24%,1%,766,78%,2,4,0,3,0,0%,NA,NA,NA,NA,37,38%,-9,6,-24,3,70%,1%,67%,19%,2%
LA,841,,,,,,,NA,0,NA,NA,1114,71%,2%,67%,22%,2%,927,78%,1,NA,NA,NA,33,36%,-9,NA,NA,NA,154,40%,-6,NA,NA,NA,73%,3%,69%,23%,1%
1,840,4001,137638,Consett Academy,AC,0,0,3,-8,6,-22,34,74%,0%,74%,32%,0%,34,74%,-8,5,-21,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,67%,0%
1,840,4006,142894,UTC South Durham,UTC,0,0,5,-25,-11,-38,39,33%,8%,23%,8%,3%,16,44%,-25,-5,-44,5,23,26%,-24,-3,-44,4,0,0%,NA,NA,NA,NA,56%,SUPP,44%,11%,SUPP
1,840,4007,144496,Teesdale School and Sixth Form,AC,0,0,5,-20,-6,-33,37,59%,5%,54%,32%,0%,37,59%,-20,-7,-32,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4010,147531,Hermitage Academy,ACC,0,0,3,5,17,-7,47,77%,4%,72%,21%,0%,47,77%,5,16,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,4047,136971,Park View School,ACC,0,0,4,-12,-4,-19,126,61%,3%,57%,22%,1%,116,66%,-10,-2,-17,4,0,0%,NA,NA,NA,NA,10,10%,-34,-3,-64,5,80%,SUPP,73%,13%,SUPP
1,840,4178,136770,King James I Academy Bishop Auckland,ACC,0,0,4,-14,-3,-24,58,53%,0%,52%,7%,2%,48,56%,-15,-3,-26,4,10,40%,-10,20,-40,3,0,0%,NA,NA,NA,NA,59%,0%,SUPP,SUPP,SUPP
1,840,4190,137696,Framwellgate School Durham,ACC,0,0,4,-12,-1,-22,64,66%,2%,64%,34%,0%,64,66%,-12,-2,-21,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,SUPP,SUPP,SUPP,0%
1,840,4191,114310,Durham Sixth Form Centre,CY,0,0,3,1,3,-1,832,76%,2%,72%,26%,2%,742,78%,0,2,-2,3,0,0%,NA,NA,NA,NA,90,59%,8,18,-2,3,66%,0%,65%,20%,2%
1,840,4200,114312,Durham Johnston Comprehensive School,CY,0,0,3,6,12,0,157,92%,3%,90%,73%,0%,157,92%,6,12,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,100%,0%,100%,58%,0%
1,840,4681,137702,St John's Catholic School & Sixth Form College,ACC,0,0,3,-5,3,-13,90,72%,1%,70%,28%,1%,90,72%,-5,3,-13,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,80%,SUPP,73%,40%,SUPP
1,840,4691,143583,"St Leonard's Catholic School, Durham",ACC,0,0,3,2,9,-5,109,78%,1%,74%,42%,3%,109,78%,2,9,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,SUPP,SUPP,SUPP,0%
1,840,4693,148304,St Bede's Catholic School and Byron Sixth Form College,ACC,0,0,3,-4,8,-16,46,76%,2%,72%,43%,2%,46,76%,-4,7,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,SUPP,63%,38%,SUPP
1,840,4694,138172,"St Bede's Catholic School and Sixth Form College, Lanchester",ACC,0,0,3,-4,5,-13,71,76%,1%,75%,45%,0%,71,76%,-4,5,-13,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,840,8002,130657,Bishop Auckland College,General Further Education College,0,0,3,-7,3,-17,61,43%,0%,15%,2%,28%,17,35%,-24,-4,-43,5,5,SUPP,SUPP,SUPP,SUPP,3,39,49%,3,18,-12,3,36%,0%,9%,SUPP,27%
1,840,8003,130658,Derwentside College,General Further Education College,0,0,5,-26,-10,-41,30,20%,3%,17%,0%,0%,0,0%,NA,NA,NA,NA,6,50%,5,44,-34,3,24,13%,-34,-14,-53,5,23%,SUPP,SUPP,SUPP,0%
1,840,8004,130659,New College Durham,General Further Education College,0,0,3,-4,0,-7,435,49%,4%,31%,5%,14%,76,72%,-1,8,-10,3,52,58%,15,28,1,2,307,41%,-7,-1,-12,4,49%,1%,34%,4%,13%
1,840,8008,131859,East Durham College,General Further Education College,0,0,4,-13,-8,-17,283,46%,SP,37%,6%,8%,127,60%,-11,-3,-18,4,92,40%,-8,2,-18,3,64,27%,-23,-10,-35,4,41%,SUPP,38%,1%,SUPP
LA,840,,,,,,,NA,-4,NA,NA,2544,65%,2%,58%,23%,5%,1822,74%,-3,NA,NA,NA,188,43%,-4,NA,NA,NA,534,41%,-8,NA,NA,NA,67%,3%,60%,25%,5%
1,929,4005,144601,Ashington Academy,AC,0,0,3,2,17,-13,28,82%,0%,82%,29%,0%,27,85%,4,19,-11,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4008,144977,Bedlington Academy,AC,0,0,3,-14,2,-30,25,64%,4%,56%,16%,4%,24,67%,-12,4,-28,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,67%,33%,SUPP
1,929,4130,122328,Haydon Bridge High School,FD,0,0,5,-21,-4,-37,26,46%,0%,38%,8%,8%,26,46%,-21,-5,-36,5,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4369,146926,Prudhoe Community High School,ACC,0,0,3,-4,4,-12,95,67%,1%,64%,26%,2%,81,70%,-5,3,-13,3,14,50%,7,32,-18,3,0,0%,NA,NA,NA,NA,54%,SUPP,46%,23%,SUPP
1,929,4417,143291,Queen Elizabeth High School,ACC,0,0,3,-5,1,-11,168,75%,1%,74%,37%,0%,157,78%,-4,2,-10,3,11,36%,-14,15,-43,3,0,0%,NA,NA,NA,NA,75%,SUPP,SUPP,SUPP,0%
1,929,4424,137457,Cramlington Learning Village,ACC,0,0,3,2,8,-4,141,83%,4%,78%,33%,1%,141,83%,2,8,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,929,4426,145783,Ponteland High School,ACC,0,0,3,-4,3,-11,112,77%,4%,72%,35%,1%,112,77%,-4,3,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,0%,SUPP,SUPP,SUPP
1,929,4437,137598,Berwick Academy,ACC,0,0,3,-5,8,-18,38,63%,0%,58%,21%,5%,36,67%,-4,9,-17,3,2,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,43%,0%,43%,14%,0%
1,929,4438,122362,The Duchess's Community High School,CY,0,0,3,4,11,-3,108,75%,1%,71%,28%,3%,97,78%,4,12,-4,3,9,56%,12,44,-20,3,2,SUPP,SUPP,SUPP,SUPP,3,69%,SUPP,62%,15%,SUPP
1,929,4439,122363,James Calvert Spence College,CY,0,0,3,-1,14,-16,29,76%,7%,69%,31%,0%,29,76%,-1,13,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,0%,67%,17%,0%
1,929,4501,137746,The King Edward VI School,ACC,0,0,3,-2,3,-7,227,78%,1%,74%,36%,2%,227,78%,-2,3,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,69%,0%,69%,19%,0%
1,929,4632,141814,St Benet Biscop Catholic Academy,ACC,0,0,4,-13,-2,-23,66,61%,3%,56%,26%,2%,66,61%,-13,-3,-22,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,67%,SUPP,56%,11%,SUPP
1,929,5400,122374,Astley Community High School,CY,0,0,5,-25,-15,-34,72,44%,3%,40%,14%,1%,63,49%,-24,-14,-33,5,0,0%,NA,NA,NA,NA,9,11%,-35,-2,-67,5,25%,SUPP,17%,0%,SUPP
1,929,6905,135619,Bede Academy,AC,0,0,3,9,18,0,70,80%,4%,74%,33%,1%,64,81%,8,17,-1,3,6,67%,23,62,-16,3,0,0%,NA,NA,NA,NA,80%,0%,SUPP,SUPP,SUPP
1,929,6906,135886,NCEA Duke's Secondary School,AC,0,0,3,-8,5,-21,40,50%,0%,48%,13%,3%,32,47%,-15,-1,-28,4,8,63%,20,54,-14,3,0,0%,NA,NA,NA,NA,45%,0%,SUPP,SUPP,SUPP
LA,929,,,,,,,NA,-4,NA,NA,1245,72%,2%,68%,30%,2%,1182,74%,-4,NA,NA,NA,52,48%,3,NA,NA,NA,11,9%,-36,NA,NA,NA,73%,2%,70%,31%,1%
1,391,4006,145900,North East Futures UTC,UTC,0,0,3,-15,8,-38,12,58%,8%,42%,0%,8%,12,58%,-15,7,-37,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,391,4007,146752,Jesmond Park Academy,AC,0,0,3,4,10,-2,169,73%,1%,69%,26%,2%,169,73%,4,10,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,60%,SUPP,53%,21%,SUPP
1,391,4008,148135,Walbottle Academy,AC,0,0,3,-1,7,-9,94,59%,3%,54%,13%,1%,62,60%,-8,2,-18,3,32,56%,12,29,-5,3,0,0%,NA,NA,NA,NA,38%,0%,SUPP,SUPP,SUPP
1,391,4429,136352,Gosforth Academy,ACC,0,0,3,4,8,0,300,82%,1%,81%,37%,1%,291,84%,5,9,0,3,0,0%,NA,NA,NA,NA,9,22%,-23,9,-55,3,86%,0%,86%,30%,0%
1,391,4450,145528,Walker Riverside Academy,ACC,0,0,3,-11,11,-33,14,50%,0%,43%,0%,7%,14,50%,-11,10,-32,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,56%,0%,SUPP,SUPP,SUPP
1,391,4485,138120,Kenton School,ACC,0,0,4,-13,-4,-21,92,52%,0%,50%,12%,2%,86,55%,-12,-3,-20,4,6,17%,-23,16,-62,3,0,0%,NA,NA,NA,NA,50%,0%,SUPP,SUPP,SUPP
1,391,4714,140081,St Mary's Catholic School,ACC,0,0,3,6,14,-2,96,90%,2%,88%,54%,0%,96,90%,6,14,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,78%,0%,78%,33%,0%
1,391,4715,137900,St Cuthbert's High School,ACC,0,0,3,6,15,-3,84,82%,0%,80%,52%,2%,72,86%,5,14,-4,3,0,0%,NA,NA,NA,NA,12,58%,11,38,-16,3,67%,0%,SUPP,SUPP,SUPP
1,391,4716,137708,Sacred Heart Catholic High School,ACC,0,0,3,8,15,0,132,86%,3%,80%,31%,3%,132,86%,8,14,1,2,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,84%,3%,79%,18%,3%
1,391,6905,135423,Excelsior Academy,AC,0,0,3,3,16,-10,37,62%,0%,59%,14%,3%,29,69%,5,19,-9,3,4,SUPP,SUPP,SUPP,SUPP,3,4,SUPP,SUPP,SUPP,SUPP,3,71%,0%,SUPP,SUPP,SUPP
1,391,8005,130552,NCG,General Further Education College,0,0,3,-1,0,-2,1903,56%,2%,47%,10%,8%,836,66%,-4,-1,-6,4,194,59%,12,18,5,2,873,46%,-2,1,-5,3,53%,SP,42%,6%,10%
LA,391,,,,,,,NA,0,NA,NA,2964,63%,2%,56%,17%,6%,1830,72%,0,NA,NA,NA,236,57%,11,NA,NA,NA,898,46%,-2,NA,NA,NA,65%,2%,58%,19%,5%
1,392,4000,139658,Kings Priory School,AC,0,0,3,0,9,-9,73,82%,3%,79%,51%,0%,73,82%,0,9,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4029,108638,Whitley Bay High School,FD,0,0,3,-3,2,-8,260,78%,2%,74%,29%,1%,260,78%,-3,1,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,75%,0%,75%,33%,0%
1,392,4030,108639,George Stephenson High School,FD,0,0,3,-9,4,-22,38,71%,0%,71%,29%,0%,38,71%,-9,3,-21,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4032,108640,Burnside College,FD,0,0,3,-2,8,-12,59,64%,0%,64%,27%,0%,39,79%,5,17,-7,3,20,35%,-15,6,-36,3,0,0%,NA,NA,NA,NA,42%,0%,42%,8%,0%
1,392,4033,108641,Churchill Community College,FD,0,0,3,-7,4,-18,49,63%,4%,55%,16%,4%,49,63%,-7,4,-18,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,64%,SUPP,55%,18%,SUPP
1,392,4034,108642,Monkseaton  High School,FD,0,0,4,-18,-6,-29,50,54%,2%,48%,22%,4%,50,54%,-18,-6,-29,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,57%,SUPP,SUPP,SUPP,0%
1,392,4039,108645,Longbenton High School,FD,0,0,3,-3,11,-17,35,74%,0%,71%,20%,3%,35,74%,-3,10,-16,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,392,4605,137734,St Thomas More Catholic High School,ACC,0,0,3,7,14,0,134,83%,3%,78%,27%,2%,131,85%,8,14,1,2,0,0%,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,3,50%,0%,50%,7%,0%
LA,392,,,,,,,NA,-2,NA,NA,698,75%,2%,71%,29%,2%,675,76%,-2,NA,NA,NA,20,35%,-15,NA,NA,NA,3,0%,-43,NA,NA,NA,77%,2%,73%,30%,2%
1,393,4004,144204,Harton Academy,ACC,0,0,3,5,12,-2,108,87%,3%,84%,43%,0%,108,87%,5,12,-2,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,4%,85%,30%,0%
1,393,4603,139878,St Joseph's Catholic Academy,ACC,0,0,3,-3,7,-13,67,73%,0%,73%,36%,0%,67,73%,-3,6,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,0%,50%,0%,0%
1,393,4604,142601,St Wilfrid's RC College,ACC,0,0,3,7,16,-2,79,85%,4%,81%,34%,0%,73,86%,6,15,-3,3,6,67%,20,59,-19,3,0,0%,NA,NA,NA,NA,80%,0%,80%,20%,0%
1,393,4605,136386,Whitburn Church of England Academy,ACC,0,0,3,8,17,-1,77,90%,4%,86%,52%,0%,77,90%,8,16,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,71%,29%,0%
1,393,8000,130555,Tyne Coast College,General Further Education College,0,0,3,-3,1,-7,374,49%,1%,39%,5%,9%,105,78%,10,17,2,2,84,39%,-6,4,-16,3,185,37%,-9,-1,-16,4,43%,0%,34%,3%,9%
LA,393,,,,,,,NA,1,NA,NA,705,66%,2%,59%,22%,5%,430,83%,6,NA,NA,NA,90,41%,-4,NA,NA,NA,185,37%,-9,NA,NA,NA,68%,2%,62%,25%,5%
1,394,4055,138103,Southmoor Academy,ACC,0,0,2,10,18,1,98,84%,1%,81%,31%,2%,91,86%,10,18,1,2,7,57%,13,49,-23,3,0,0%,NA,NA,NA,NA,80%,SUPP,77%,23%,SUPP
1,394,4607,139538,St Aidan's Catholic Academy,ACC,0,0,3,1,11,-9,60,82%,2%,80%,27%,0%,60,82%,1,11,-9,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,394,4609,147142,"St Robert of Newminster Catholic School and Sixth Form College, Washington",ACC,0,0,3,-2,4,-8,182,74%,3%,69%,29%,2%,166,77%,-2,4,-8,3,16,50%,-7,17,-31,3,0,0%,NA,NA,NA,NA,81%,0%,75%,31%,6%
1,394,4610,138054,St Anthony's Girls' Catholic Academy,ACC,0,0,1,17,24,9,124,92%,0%,92%,23%,0%,109,94%,15,22,7,2,15,73%,32,56,7,2,0,0%,NA,NA,NA,NA,84%,0%,84%,11%,0%
1,394,8003,131347,City of Sunderland College,General Further Education College,0,0,4,-7,-4,-9,1175,53%,2%,40%,7%,11%,620,60%,-11,-7,-14,4,139,58%,9,17,0,3,416,41%,-6,-1,-10,4,45%,SP,33%,6%,12%
LA,394,,,,,,,NA,-3,NA,NA,1639,61%,2%,51%,13%,8%,1046,69%,-5,NA,NA,NA,177,58%,10,NA,NA,NA,416,41%,-6,NA,NA,NA,64%,2%,54%,15%,7%
1,390,4001,141185,Thorp Academy,AC,0,0,3,-4,6,-14,63,73%,2%,70%,35%,2%,63,73%,-4,5,-13,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,89%,SUPP,78%,67%,SUPP
1,390,4003,147178,Grace College,ACC,0,0,3,-12,0,-23,52,60%,2%,56%,15%,2%,52,60%,-12,-1,-22,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,43%,SUPP,36%,14%,SUPP
1,390,4027,137942,Lord Lawson of Beamish Academy,ACC,0,0,3,-3,5,-11,87,72%,6%,66%,17%,1%,87,72%,-3,5,-11,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,82%,SUPP,73%,18%,SUPP
1,390,4029,137360,Whickham School,ACC,0,0,3,-6,1,-13,137,69%,0%,69%,26%,1%,137,69%,-6,0,-12,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,50%,0%,SUPP,SUPP,SUPP
1,390,4041,108410,Kingsmeadow Community Comprehensive School,CY,0,0,3,-6,12,-24,20,65%,0%,65%,25%,0%,19,68%,-4,14,-22,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,SUPP,0%,SUPP,SUPP,0%
1,390,4605,137852,"Cardinal Hume Catholic School, Gateshead",ACC,0,0,2,12,20,3,96,91%,2%,89%,34%,0%,90,91%,11,19,2,2,6,83%,29,68,-10,3,0,0%,NA,NA,NA,NA,94%,0%,94%,13%,0%
1,390,4606,137851,"St Thomas More Catholic School, Blaydon",ACC,0,0,3,3,10,-4,120,75%,3%,71%,33%,1%,91,87%,7,15,-1,3,0,0%,NA,NA,NA,NA,29,38%,-7,10,-24,3,67%,SUPP,44%,11%,SUPP
1,390,6900,108420,Emmanuel College,CTC,0,0,3,4,11,-3,123,84%,4%,76%,54%,3%,114,85%,3,10,-4,3,9,67%,14,46,-18,3,0,0%,NA,NA,NA,NA,76%,6%,71%,53%,0%
1,390,8001,130551,Gateshead College,General Further Education College,0,0,3,-1,2,-4,521,53%,2%,47%,9%,3%,120,61%,-14,-6,-21,4,42,45%,1,15,-13,3,359,51%,3,8,-2,3,42%,1%,38%,8%,3%
LA,390,,,,,,,NA,-1,NA,NA,1219,66%,3%,61%,22%,2%,773,75%,-2,NA,NA,NA,58,52%,6,NA,NA,NA,388,50%,2,NA,NA,NA,68%,3%,64%,24%,2%
1,876,6905,136185,Ormiston Bolingbroke Academy,AC,0,0,4,-18,-8,-27,70,39%,0%,36%,4%,3%,43,47%,-17,-4,-29,4,2,SUPP,SUPP,SUPP,SUPP,3,25,28%,-16,3,-35,3,31%,0%,SUPP,SUPP,SUPP
1,876,8020,130622,Riverside College Halton,General Further Education College,0,0,4,-7,-4,-9,1158,56%,2%,50%,12%,3%,654,63%,-11,-7,-14,4,113,56%,5,14,-4,3,391,45%,-3,1,-7,3,49%,1%,44%,8%,4%
LA,876,,,,,,,NA,-7,NA,NA,1228,55%,2%,50%,12%,3%,697,62%,-11,NA,NA,NA,115,55%,4,NA,NA,NA,416,44%,-4,NA,NA,NA,58%,3%,52%,14%,3%
1,877,4004,142899,UTC Warrington,UTC,0,0,3,-2,13,-17,28,46%,14%,29%,7%,4%,6,50%,-8,24,-40,3,22,45%,0,20,-20,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,877,4206,139152,Great Sankey High School,ACC,0,0,4,-11,-4,-17,154,60%,4%,55%,21%,1%,143,60%,-13,-6,-19,4,8,75%,25,59,-9,3,3,SUPP,SUPP,SUPP,SUPP,3,60%,0%,60%,30%,0%
1,877,4226,139840,Birchwood Community High School,ACC,0,0,3,-3,11,-17,33,52%,0%,52%,3%,0%,14,57%,-9,12,-30,3,0,0%,NA,NA,NA,NA,19,47%,1,23,-21,3,60%,0%,60%,SUPP,0%
1,877,4502,138732,Lymm High School,ACC,0,0,3,1,7,-5,181,81%,2%,77%,40%,2%,174,82%,1,6,-4,3,7,71%,13,49,-23,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,877,8000,130617,Warrington and Vale Royal College,General Further Education College,0,0,3,1,6,-4,196,48%,2%,31%,3%,16%,2,SUPP,SUPP,SUPP,SUPP,3,22,59%,13,33,-7,3,172,47%,0,7,-7,3,43%,0%,23%,0%,21%
1,877,8600,144782,Priestley College,ACC1619,0,0,4,-8,-4,-11,739,63%,2%,58%,14%,2%,635,65%,-9,-5,-12,4,14,50%,-2,23,-27,3,90,44%,-4,6,-14,3,55%,2%,51%,9%,2%
LA,877,,,,,,,NA,-5,NA,NA,1365,63%,2%,56%,16%,4%,1008,68%,-7,NA,NA,NA,73,56%,8,NA,NA,NA,284,46%,-1,NA,NA,NA,64%,2%,59%,18%,4%
1,889,4002,139924,Darwen Aldridge Enterprise Studio,SS,0,0,3,-12,7,-31,19,42%,0%,37%,5%,5%,15,40%,-16,4,-36,3,4,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,33%,0%,SUPP,SUPP,SUPP
1,889,4800,141565,Tauheedul Islam Girls' High School,ACC,0,0,5,-19,-10,-27,107,67%,4%,64%,30%,0%,107,67%,-19,-11,-26,4,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,73%,9%,64%,9%,0%
1,889,5406,136900,St Wilfrid's Church of England Academy,ACC,0,0,3,2,9,-5,123,83%,3%,77%,20%,2%,123,83%,2,9,-5,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,94%,6%,89%,6%,0%
1,889,6001,141165,Queen Elizabeth's Grammar School,F,0,0,3,6,17,-5,54,85%,4%,81%,41%,0%,54,85%,6,16,-4,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,90%,0%,90%,40%,0%
1,889,6905,135580,Darwen Aldridge Community Academy,AC,0,0,3,-3,7,-13,61,67%,3%,64%,16%,0%,60,68%,-3,7,-13,3,0,0%,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,70%,20%,0%
1,889,8007,130736,Blackburn College,General Further Education College,0,0,3,4,7,0,516,57%,2%,51%,6%,4%,112,69%,-3,4,-10,3,81,53%,6,16,-4,3,323,53%,7,12,1,2,51%,1%,46%,3%,5%
LA,889,,,,,,,NA,4,NA,NA,1127,68%,2%,63%,13%,3%,624,76%,-1,NA,NA,NA,85,53%,6,NA,NA,NA,418,58%,11,NA,NA,NA,68%,3%,64%,14%,2%
1,890,4601,141257,St Mary's Catholic Academy,ACC,0,0,3,8,18,-2,69,83%,3%,78%,28%,1%,69,83%,8,17,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,73%,0%,SUPP,SUPP,SUPP
1,890,8014,130739,Blackpool and the Fylde College,General Further Education College,0,0,4,-16,-11,-20,377,34%,1%,23%,1%,10%,98,43%,-19,-11,-26,4,82,37%,-9,1,-19,3,197,29%,-17,-10,-23,4,31%,1%,24%,0%,6%
1,890,8600,130744,The Blackpool Sixth Form College,Sixth Form College,0,0,3,1,3,-1,858,68%,3%,64%,21%,2%,557,76%,-1,2,-4,3,52,48%,-2,11,-15,3,249,55%,6,12,0,3,69%,0%,65%,11%,4%
LA,890,,,,,,,NA,-3,NA,NA,1304,59%,2%,53%,16%,4%,724,72%,-3,NA,NA,NA,134,41%,-6,NA,NA,NA,446,44%,-4,NA,NA,NA,61%,3%,54%,18%,4%
1,895,4002,140813,Cheshire Studio School,SS,0,0,3,-5,10,-20,27,48%,0%,48%,4%,0%,16,56%,-5,14,-24,3,11,36%,-5,24,-34,3,0,0%,NA,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP
1,895,4004,142890,Crewe Engineering and Design UTC,UTC,0,0,5,-20,-4,-35,29,31%,7%,24%,7%,0%,11,55%,-13,10,-36,3,18,17%,-24,-1,-46,4,0,0%,NA,NA,NA,NA,17%,0%,17%,SUPP,0%
1,895,4116,140791,Tytherington School,ACC,0,0,3,-1,7,-9,90,77%,1%,76%,37%,0%,85,78%,-2,6,-10,3,0,0%,NA,NA,NA,NA,5,SUPP,SUPP,SUPP,SUPP,3,71%,SUPP,SUPP,SUPP,0%
1,895,4121,140108,Alsager School,ACC,0,0,3,0,7,-7,133,77%,2%,74%,26%,1%,133,77%,0,6,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,63%,0%,SUPP,SUPP,SUPP
1,895,4123,136340,Sandbach High School and Sixth Form College,ACC,0,0,3,-2,5,-9,117,75%,1%,73%,29%,2%,116,75%,-2,5,-9,3,1,SUPP,SUPP,SUPP,SUPP,3,0,0%,NA,NA,NA,NA,63%,SUPP,SUPP,SUPP,0%
1,895,4143,111419,Malbank School and Sixth Form College,FD,0,0,3,-1,9,-11,69,70%,1%,68%,19%,0%,69,70%,-1,8,-10,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,29%,SUPP,SUPP,SUPP,0%
1,895,4163,138002,Knutsford Academy,ACC,0,0,3,3,12,-6,74,82%,4%,77%,36%,1%,74,82%,3,12,-6,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,71%,0%,SUPP,SUPP,SUPP
1,895,4165,137449,Holmes Chapel Comprehensive School,ACC,0,0,3,-8,0,-16,98,65%,2%,63%,30%,0%,98,65%,-8,0,-15,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,64%,0%,64%,45%,0%
1,895,4211,146387,Poynton High School,ACC,0,0,3,5,12,-2,139,82%,1%,79%,35%,1%,139,82%,5,11,-1,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,91%,0%,91%,9%,0%
1,895,4220,136279,Brine Leas School,ACC,0,0,3,6,12,0,142,86%,3%,83%,42%,0%,142,86%,6,12,0,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,85%,0%,85%,31%,0%
1,895,4225,111443,Wilmslow High School,CY,0,0,3,-2,3,-7,204,78%,1%,77%,42%,0%,204,78%,-2,3,-7,3,0,0%,NA,NA,NA,NA,0,0%,NA,NA,NA,NA,53%,0%,53%,27%,0%
